epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
45,3384.85,0.47704,0.5189,0.47159,0.00684,1.23559,0.91709,0.91277,0.96181,0.86731,0.91676,0.91244,0.96166,0.88659,0.45221,0.50208,0.35066,0.01207,0,0.0014192,0.0014192,0.0014192
46,3458.99,0.47564,0.49993,0.45636,0.0069,1.20688,0.91655,0.92723,0.95883,0.87534,0.91426,0.92841,0.95884,0.89141,0.4249,0.5245,0.34111,0.01086,0,0.001406,0.001406,0.001406
47,3533.71,0.45983,0.51314,0.45698,0.00643,1.19048,0.89211,0.86773,0.9381,0.82291,0.89211,0.86773,0.9386,0.85108,0.56899,0.58621,0.45066,0.01615,0,0.0013928,0.0013928,0.0013928
48,3608.17,0.46258,0.51552,0.45302,0.00643,1.20871,0.90262,0.91848,0.95528,0.87545,0.90266,0.9191,0.95452,0.88491,0.41349,0.47557,0.35261,0.01018,0,0.0013796,0.0013796,0.0013796
49,3683,0.46453,0.51051,0.46156,0.00655,1.18264,0.86928,0.85987,0.92666,0.82957,0.88009,0.84925,0.92632,0.84702,0.50515,0.55464,0.48741,0.01341,0,0.0013664,0.0013664,0.0013664
50,3757.13,0.45739,0.51993,0.45877,0.00645,1.19587,0.91627,0.92235,0.96139,0.88218,0.91681,0.92382,0.96123,0.90374,0.42811,0.45394,0.32791,0.01072,0,0.0013532,0.0013532,0.0013532
51,3831.92,0.46444,0.51833,0.46623,0.00641,1.21356,0.90788,0.88375,0.93711,0.8515,0.90653,0.88596,0.94149,0.86171,0.4627,0.5613,0.45018,0.01237,0,0.00134,0.00134,0.00134
52,3907.04,0.43887,0.48975,0.4411,0.00614,1.15969,0.90832,0.92268,0.95485,0.88009,0.90825,0.91981,0.95391,0.89512,0.41284,0.46296,0.37077,0.01064,0,0.0013268,0.0013268,0.0013268
53,3981.71,0.45869,0.51368,0.46247,0.00642,1.19972,0.91378,0.92621,0.96665,0.88366,0.91474,0.92719,0.96662,0.90402,0.41805,0.44416,0.32025,0.01091,0,0.0013136,0.0013136,0.0013136
54,4056.49,0.44957,0.50947,0.44726,0.00625,1.16431,0.91273,0.92398,0.96094,0.89266,0.91939,0.91901,0.96083,0.89432,0.38384,0.45639,0.33427,0.00917,0,0.0013004,0.0013004,0.0013004
